table,id,service_id,old_company,new_company,detail
servicios,477,477,MSL-CR,MCI-CR,EL SURCO | 2215-1408-2026 | DRAFT SURVEY INITIAL AND FINAL
servicios,478,478,MSL-CR,MCI-CR,EL SURCO | 2216-1408-2026 | LOGISTICS SUPERVISON
servicios,484,484,MSL-CR,MCI-CR,"Pandi Costa Rica, S,A | 2211-3107-2026 | OUTTURN SURVEY"
servicios,490,490,MSL-CR,MCI-CR,"Pandi Costa Rica, S,A | 2217-1608-2026 | Wheather monitoring"
servicios,491,491,MSL-CR,MCI-CR,"Pandi Costa Rica, S,A |  | OFF HIRE BUNKER SURVEY 2 PARTIES"
servicios,492,492,MSL-CR,MCI-CR,"Pandi Costa Rica, S,A | 2222-2308-2026 | DRAFT SURVEY INITIAL AND FINAL"
servicios,493,493,MSL-CR,MCI-CR,"Pandi Costa Rica, S,A | 2212-1108-2026 | P&I SURVEY"
servicios,498,498,MSL-CR,MCI-CR,"Pandi Costa Rica, S,A | 2218-1508-2026 | DRAFT SURVEY"
servicios,499,499,MSL-CR,MCI-CR,THEMECO | 2219-1808-2026 | MOORING LINES DAMAGES INSPECTION
servicios,500,500,MSL-CR,MCI-CR,THEMECO | 2220-1908-2026 | GRAB INSOECTION DAMAGE
payment_obligations,1334,484,MSL-CR,MCI-CR,SERVICIOS | PENDING | balance=1.00
payment_obligations,1335,493,MSL-CR,MCI-CR,SERVICIOS | PENDING | balance=1.00
